option,value,n,percent
termguicolors,true,216,95%
helplang,en,200,88%
number,true,196,86%
expandtab,true,187,83%
ignorecase,true,185,81%
smartcase,true,183,81%
splitright,true,161,71%
splitbelow,true,155,68%
cursorline,true,150,66%
leader,<Space>,150,66%
undofile,true,147,65%
relativenumber,true,135,59%
mouse,a,132,58%
showmode,false,129,57%
statusline,%#Normal#,126,56%
laststatus,3,123,54%
signcolumn,yes,106,47%
wrap,false,105,46%
tabstop,4,103,45%
clipboard,unnamedplus,101,44%
list,true,101,44%
shiftwidth,4,101,45%
shiftwidth,2,96,42%
showtabline,2,96,42%
smartindent,true,94,41%
tabstop,2,91,40%
linebreak,true,78,34%
breakindent,true,67,30%
softtabstop,4,64,28%
lazyredraw,true,60,26%
updatetime,300,60,27%
completeopt,"menu,menuone,noselect",57,25%
